Algorithm,Seed,Data Size,Runtime,Theoretical Big-O
ShellSort1,893,4000,0.07098770799893828,0
ShellSort2,893,4000,0.02594837499964342,0
BucketSort,893,4000,0.0005408750002970919,0
RadixSort,893,4000,0.0022019160005584126,0
CustomSort1,893,4000,0.021533375000217347,0
CustomSort2,893,4000,0.005362457999581238,0
MergeSort,942,4000,0.006319000000075903,0
QuickSort,942,4000,0.00498979199983296,0
InsertionSort,942,4000,0.24213562500153785,0
ShellSort1,942,4000,0.07292012499965494,0
ShellSort2,942,4000,0.026878083001065534,0
BucketSort,942,4000,0.0005103339990455424,0
RadixSort,942,4000,0.002216124999904423,0
CustomSort1,942,4000,0.02140983299977961,0
CustomSort2,942,4000,0.005399583000325947,0
MergeSort,260,8000,0.01366049999887764,0
QuickSort,260,8000,0.012449957999706385,0
InsertionSort,260,8000,1.0078154999991966,0
ShellSort1,260,8000,0.28939216699836834,0
ShellSort2,260,8000,0.07152237499940384,0
BucketSort,260,8000,0.0008477089995722054,0
RadixSort,260,8000,0.004391249998661806,0
CustomSort1,260,8000,0.0917865419996815,0
CustomSort2,260,8000,0.01163937500132306,0
MergeSort,883,8000,0.013416750000033062,0
QuickSort,883,8000,0.012633166999876266,0
InsertionSort,883,8000,0.9903009169993311,0
ShellSort1,883,8000,0.2811359169991192,0
ShellSort2,883,8000,0.08276879199911491,0
BucketSort,883,8000,0.0008829580001474824,0
RadixSort,883,8000,0.004334458999437629,0
CustomSort1,883,8000,0.09080983300009393,0
CustomSort2,883,8000,0.011645666998447268,0
MergeSort,464,8000,0.013440667000395479,0
QuickSort,464,8000,0.011506582999572856,0
InsertionSort,464,8000,0.9910199579990149,0
ShellSort1,464,8000,0.2843619169998419,0
ShellSort2,464,8000,0.0803671249996114,0
BucketSort,464,8000,0.0008601669997005956,0
RadixSort,464,8000,0.0043316669998603174,0
CustomSort1,464,8000,0.09077274999981455,0
CustomSort2,464,8000,0.01158170899907418,0
MergeSort,893,8000,0.013522958999601542,0
QuickSort,893,8000,0.012459959001716925,0
InsertionSort,893,8000,1.0196554590002052,0
ShellSort1,893,8000,0.2899438749991532,0
ShellSort2,893,8000,0.08130262499980745,0
BucketSort,893,8000,0.0008805839988781372,0
RadixSort,893,8000,0.00440616699961538,0
CustomSort1,893,8000,0.09138091699969664,0
CustomSort2,893,8000,0.011631458000920247,0
MergeSort,942,8000,0.013444249998428859,0
QuickSort,942,8000,0.012042207999911625,0
InsertionSort,942,8000,1.01258450000023,0
ShellSort1,942,8000,0.28851412500080187,0
ShellSort2,942,8000,0.08026758300002257,0
BucketSort,942,8000,0.0008827080000628484,0
RadixSort,942,8000,0.004409499999383115,0
CustomSort1,942,8000,0.09171291699931317,0
CustomSort2,942,8000,0.01171687500027474,0
MergeSort,260,16000,0.028537583000797895,0
QuickSort,260,16000,0.030347083000378916,0
InsertionSort,260,16000,4.030083499999819,0
